gene_id	gene_name	gene_type	seqnames
7975	ENSMUSG00000031558	Slit2	protein_coding	chr5
7976	ENSMUSG00000092309	4930518C09Rik	lncRNA	chr5
7977	ENSMUSG00000092559	Gm20475	lncRNA	chr5
7978	ENSMUSG00000029089	5730480H06Rik	protein_coding	chr5
7979	ENSMUSG00000029088	Kcnip4	protein_coding	chr5
7980	ENSMUSG00000093502	Gm20700	lncRNA	chr5
7981	ENSMUSG00000029090	Adgra3	protein_coding	chr5
7982	ENSMUSG00000104870	4930448I18Rik	lncRNA	chr5
7983	ENSMUSG00000105423	Gm36814	lncRNA	chr5
7984	ENSMUSG00000105320	Gm43016	lncRNA	chr5
7985	ENSMUSG00000029167	Ppargc1a	protein_coding	chr5
7986	ENSMUSG00000104847	Gm43177	lncRNA	chr5
7987	ENSMUSG00000029169	Dhx15	protein_coding	chr5
7988	ENSMUSG00000097145	9230114K14Rik	lncRNA	chr5
7989	ENSMUSG00000106464	C130083M11Rik	lncRNA	chr5
7990	ENSMUSG00000104751	Gm43179	lncRNA	chr5
7991	ENSMUSG00000072941	Sod3	protein_coding	chr5
7992	ENSMUSG00000045790	Ccdc149	protein_coding	chr5
7993	ENSMUSG00000106380	Gm3519	lncRNA	chr5
7994	ENSMUSG00000039252	Lgi2	protein_coding	chr5
7995	ENSMUSG00000104829	Gm43685	lncRNA	chr5
7996	ENSMUSG00000052295	8030423F21Rik	lncRNA	chr5
7997	ENSMUSG00000029173	Sepsecs	protein_coding	chr5
7998	ENSMUSG00000029186	Pi4k2b	protein_coding	chr5
7999	ENSMUSG00000029179	Zcchc4	protein_coding	chr5
8000	ENSMUSG00000029176	Anapc4	protein_coding	chr5
8001	ENSMUSG00000106352	5033403H07Rik	lncRNA	chr5
8002	ENSMUSG00000106538	Gm30301	lncRNA	chr5
8003	ENSMUSG00000029188	Slc34a2	protein_coding	chr5
8004	ENSMUSG00000090642	Gm17182	lncRNA	chr5
8005	ENSMUSG00000029189	Sel1l3	protein_coding	chr5
8006	ENSMUSG00000061461	Smim20	protein_coding	chr5
8007	ENSMUSG00000106981	Gm45495	lncRNA	chr5
8008	ENSMUSG00000106808	Gm42745	lncRNA	chr5
8009	ENSMUSG00000039191	Rbpj	protein_coding	chr5
8010	ENSMUSG00000106807	Gm10441	lncRNA	chr5
8011	ENSMUSG00000107111	Gm40304	lncRNA	chr5
8012	ENSMUSG00000029193	Cckar	protein_coding	chr5
8013	ENSMUSG00000039178	Tbc1d19	protein_coding	chr5
8014	ENSMUSG00000039156	Stim2	protein_coding	chr5
8015	ENSMUSG00000105912	Gm10440	lncRNA	chr5
8016	ENSMUSG00000097216	4932441J04Rik	lncRNA	chr5
8017	ENSMUSG00000029108	Pcdh7	protein_coding	chr5
8018	ENSMUSG00000105234	4930459L07Rik	lncRNA	chr5
8019	ENSMUSG00000100557	1700029E06Rik	lncRNA	chr5
8020	ENSMUSG00000106634	Gm43042	lncRNA	chr5
8021	ENSMUSG00000106013	4933402J10Rik	lncRNA	chr5
8022	ENSMUSG00000105903	1700014F14Rik	lncRNA	chr5
8023	ENSMUSG00000089992	G6pd2	protein_coding	chr5
8024	ENSMUSG00000037999	Arap2	protein_coding	chr5
8025	ENSMUSG00000090326	Dthd1	protein_coding	chr5
8026	ENSMUSG00000090061	Nwd2	protein_coding	chr5
8027	ENSMUSG00000060512	0610040J01Rik	protein_coding	chr5
8028	ENSMUSG00000047881	Rell1	protein_coding	chr5
8029	ENSMUSG00000087552	Gm15819	lncRNA	chr5
8030	ENSMUSG00000106219	5830416I19Rik	lncRNA	chr5
8031	ENSMUSG00000029171	Pgm2	protein_coding	chr5
8032	ENSMUSG00000029174	Tbc1d1	protein_coding	chr5
8033	ENSMUSG00000105730	Gm43838	lncRNA	chr5
8034	ENSMUSG00000105443	Gm43837	lncRNA	chr5
8035	ENSMUSG00000105105	Gm31363	lncRNA	chr5
8036	ENSMUSG00000100911	1700027F09Rik	lncRNA	chr5
8037	ENSMUSG00000105352	C030018K13Rik	lncRNA	chr5
8038	ENSMUSG00000105402	Gm3716	lncRNA	chr5
8039	ENSMUSG00000105183	Gm42564	lncRNA	chr5
8040	ENSMUSG00000104928	Gm42565	lncRNA	chr5
8041	ENSMUSG00000097668	Gm26761	lncRNA	chr5
8042	ENSMUSG00000097640	Gm20033	lncRNA	chr5
8043	ENSMUSG00000029178	Klf3	protein_coding	chr5
8044	ENSMUSG00000044827	Tlr1	protein_coding	chr5
8045	ENSMUSG00000051498	Tlr6	protein_coding	chr5
8046	ENSMUSG00000029185	Fam114a1	protein_coding	chr5
8047	ENSMUSG00000037913	Tmem156	protein_coding	chr5
8048	ENSMUSG00000054920	Klhl5	protein_coding	chr5
8049	ENSMUSG00000037890	Wdr19	protein_coding	chr5
8050	ENSMUSG00000029191	Rfc1	protein_coding	chr5
8051	ENSMUSG00000029195	Klb	protein_coding	chr5
8052	ENSMUSG00000047215	Rpl9	protein_coding	chr5
8053	ENSMUSG00000029199	Lias	protein_coding	chr5
8054	ENSMUSG00000029201	Ugdh	protein_coding	chr5
8055	ENSMUSG00000037822	Smim14	protein_coding	chr5
8056	ENSMUSG00000029203	Ube2k	protein_coding	chr5
8057	ENSMUSG00000107102	Gm42726	lncRNA	chr5
8058	ENSMUSG00000029202	Pds5a	protein_coding	chr5
8059	ENSMUSG00000106978	N4bp2os	lncRNA	chr5
8060	ENSMUSG00000037795	N4bp2	protein_coding	chr5
8061	ENSMUSG00000029204	Rhoh	protein_coding	chr5
8062	ENSMUSG00000029205	Chrna9	protein_coding	chr5
8063	ENSMUSG00000054598	9130230L23Rik	protein_coding	chr5
8064	ENSMUSG00000070780	Rbm47	protein_coding	chr5
8065	ENSMUSG00000097092	Gm26725	lncRNA	chr5
8066	ENSMUSG00000107014	1700126H18Rik	lncRNA	chr5
8067	ENSMUSG00000029206	Nsun7	protein_coding	chr5
8068	ENSMUSG00000029207	Apbb2	protein_coding	chr5
8069	ENSMUSG00000087601	Uchl1os	lncRNA	chr5
8070	ENSMUSG00000029223	Uchl1	protein_coding	chr5
8071	ENSMUSG00000037736	Limch1	protein_coding	chr5
8072	ENSMUSG00000085839	Gm15949	lncRNA	chr5
8073	ENSMUSG00000086964	Gm15948	lncRNA	chr5
8074	ENSMUSG00000012520	Phox2b	protein_coding	chr5
8075	ENSMUSG00000107319	Gm42670	lncRNA	chr5
8076	ENSMUSG00000037720	Tmem33	protein_coding	chr5
8077	ENSMUSG00000029221	Slc30a9	protein_coding	chr5
8078	ENSMUSG00000107266	Gm43698	lncRNA	chr5
8079	ENSMUSG00000092060	Bend4	protein_coding	chr5
8080	ENSMUSG00000097840	Gm26756	lncRNA	chr5
8081	ENSMUSG00000107385	C330024D21Rik	lncRNA	chr5
8082	ENSMUSG00000050010	Shisa3	protein_coding	chr5
8083	ENSMUSG00000037685	Atp8a1	protein_coding	chr5
8084	ENSMUSG00000085363	Gm15478	lncRNA	chr5
8085	ENSMUSG00000087261	Gm15477	lncRNA	chr5
8086	ENSMUSG00000095346	Gm21905	protein_coding	chr5
8087	ENSMUSG00000106880	4930425K10Rik	lncRNA	chr5
8088	ENSMUSG00000094719	Gm5108	protein_coding	chr5
8089	ENSMUSG00000068082	Grxcr1	protein_coding	chr5
8090	ENSMUSG00000037653	Kctd8	protein_coding	chr5
8091	ENSMUSG00000029158	Yipf7	protein_coding	chr5
8092	ENSMUSG00000029208	Guf1	protein_coding	chr5
8093	ENSMUSG00000029209	Gnpda2	protein_coding	chr5
8094	ENSMUSG00000001260	Gabrg1	protein_coding	chr5
8095	ENSMUSG00000000560	Gabra2	protein_coding	chr5
8096	ENSMUSG00000049387	Cox7b2	protein_coding	chr5
8097	ENSMUSG00000029211	Gabra4	protein_coding	chr5
8098	ENSMUSG00000029212	Gabrb1	protein_coding	chr5
8099	ENSMUSG00000105489	Gm38562	lncRNA	chr5
8100	ENSMUSG00000029213	Commd8	protein_coding	chr5
8101	ENSMUSG00000005220	Corin	protein_coding	chr5
8102	ENSMUSG00000093400	Gm20647	lncRNA	chr5
8103	ENSMUSG00000093771	AU023070	lncRNA	chr5
8104	ENSMUSG00000072889	Nfxl1	protein_coding	chr5
8105	ENSMUSG00000063935	Zar1	protein_coding	chr5
8106	ENSMUSG00000060204	Gm5868	protein_coding	chr5
8107	ENSMUSG00000067220	Cnga1	protein_coding	chr5
8108	ENSMUSG00000106136	4933408A14Rik	lncRNA	chr5
8109	ENSMUSG00000067219	Nipal1	protein_coding	chr5
8110	ENSMUSG00000054892	Txk	protein_coding	chr5
8111	ENSMUSG00000029217	Tec	protein_coding	chr5
8112	ENSMUSG00000036087	Slain2	protein_coding	chr5
8113	ENSMUSG00000063656	Gm10135	protein_coding	chr5
8114	ENSMUSG00000029219	Slc10a4	protein_coding	chr5
8115	ENSMUSG00000070733	Fryl	protein_coding	chr5
8116	ENSMUSG00000086376	1700071G01Rik	lncRNA	chr5
8117	ENSMUSG00000090561	Gm17207	lncRNA	chr5
8118	ENSMUSG00000107087	Gm34411	lncRNA	chr5
8119	ENSMUSG00000100175	1700025M24Rik	lncRNA	chr5
8120	ENSMUSG00000029152	Ociad1	protein_coding	chr5
8121	ENSMUSG00000029153	Ociad2	protein_coding	chr5
8122	ENSMUSG00000029154	Cwh43	protein_coding	chr5
8123	ENSMUSG00000051674	Dcun1d4	protein_coding	chr5
8124	ENSMUSG00000067206	Lrrc66	protein_coding	chr5
8125	ENSMUSG00000029156	Sgcb	protein_coding	chr5
8126	ENSMUSG00000029155	Spata18	protein_coding	chr5
8127	ENSMUSG00000107027	1700019F05Rik	lncRNA	chr5
8128	ENSMUSG00000106968	C78283	lncRNA	chr5
8129	ENSMUSG00000054814	Usp46	protein_coding	chr5
8130	ENSMUSG00000087250	Usp46os1	lncRNA	chr5
8131	ENSMUSG00000086234	Usp46os2	lncRNA	chr5
8132	ENSMUSG00000106943	Dancr	lncRNA	chr5
8133	ENSMUSG00000049907	Rasl11b	protein_coding	chr5
8134	ENSMUSG00000062110	Scfd2	protein_coding	chr5
8135	ENSMUSG00000029227	Fip1l1	protein_coding	chr5
8136	ENSMUSG00000029228	Lnx1	protein_coding	chr5
8137	ENSMUSG00000085657	Gm15984	lncRNA	chr5
8138	ENSMUSG00000085497	Gm15985	lncRNA	chr5
8139	ENSMUSG00000106987	Gm42575	lncRNA	chr5
8140	ENSMUSG00000072874	Gm6116	lncRNA	chr5
8141	ENSMUSG00000029229	Chic2	protein_coding	chr5
8142	ENSMUSG00000035946	Gsx2	protein_coding	chr5
8143	ENSMUSG00000107192	Gm19583	lncRNA	chr5
8144	ENSMUSG00000029231	Pdgfra	protein_coding	chr5
8145	ENSMUSG00000106760	Gm42802	lncRNA	chr5
8146	ENSMUSG00000107386	Gm42800	lncRNA	chr5
8147	ENSMUSG00000005672	Kit	protein_coding	chr5
8148	ENSMUSG00000106754	Gm43101	lncRNA	chr5
8149	ENSMUSG00000106726	Gm43100	lncRNA	chr5
8150	ENSMUSG00000107061	Gm19590	lncRNA	chr5
8151	ENSMUSG00000100936	Gm28865	lncRNA	chr5
8152	ENSMUSG00000062960	Kdr	protein_coding	chr5
8153	ENSMUSG00000106756	Gm32780	lncRNA	chr5
8154	ENSMUSG00000029233	Srd5a3	protein_coding	chr5
8155	ENSMUSG00000029234	Tmem165	protein_coding	chr5
8156	ENSMUSG00000029238	Clock	protein_coding	chr5
8157	ENSMUSG00000098449	Gm7467	lncRNA	chr5
8158	ENSMUSG00000029235	Pdcl2	protein_coding	chr5
8159	ENSMUSG00000087037	4930432L08Rik	lncRNA	chr5
8160	ENSMUSG00000029236	Nmu	protein_coding	chr5
8161	ENSMUSG00000091204	Gm7271	protein_coding	chr5
8162	ENSMUSG00000036435	Exoc1	protein_coding	chr5
8163	ENSMUSG00000036403	Cep135	protein_coding	chr5
8164	ENSMUSG00000036377	C530008M17Rik	protein_coding	chr5
8165	ENSMUSG00000055923	Aasdh	protein_coding	chr5
8166	ENSMUSG00000029246	Ppat	protein_coding	chr5
8167	ENSMUSG00000029247	Paics	protein_coding	chr5
8168	ENSMUSG00000036323	Srp72	protein_coding	chr5
8169	ENSMUSG00000063820	Arl9	protein_coding	chr5
8170	ENSMUSG00000086632	1700112J05Rik	lncRNA	chr5
8171	ENSMUSG00000029248	Thegl	protein_coding	chr5
8172	ENSMUSG00000059325	Hopx	protein_coding	chr5
8173	ENSMUSG00000087541	Hopxos	lncRNA	chr5
8174	ENSMUSG00000085858	Gm15831	lncRNA	chr5
8175	ENSMUSG00000106783	Chaer1	lncRNA	chr5
8176	ENSMUSG00000053030	Spink2	protein_coding	chr5
8177	ENSMUSG00000029249	Rest	protein_coding	chr5
8178	ENSMUSG00000036285	Noa1	protein_coding	chr5
8179	ENSMUSG00000029250	Polr2b	protein_coding	chr5
8180	ENSMUSG00000036256	Igfbp7	protein_coding	chr5
8181	ENSMUSG00000106828	Gm34648	lncRNA	chr5
8182	ENSMUSG00000106906	Gm34728	lncRNA	chr5
8183	ENSMUSG00000107232	1700017L05Rik	lncRNA	chr5
8184	ENSMUSG00000106985	Gm42761	lncRNA	chr5
8185	ENSMUSG00000037605	Adgrl3	protein_coding	chr5
8186	ENSMUSG00000087431	Gm16054	lncRNA	chr5
8187	ENSMUSG00000099863	1700031L13Rik	protein_coding	chr5
8188	ENSMUSG00000049537	Tecrl	protein_coding	chr5
8189	ENSMUSG00000029245	Epha5	protein_coding	chr5
8190	ENSMUSG00000106598	Gm43532	lncRNA	chr5
8191	ENSMUSG00000104878	Gm43567	lncRNA	chr5
8192	ENSMUSG00000029253	Cenpc1	protein_coding	chr5
8193	ENSMUSG00000029254	Stap1	protein_coding	chr5
8194	ENSMUSG00000035898	Uba6	protein_coding	chr5
8195	ENSMUSG00000029255	Gnrhr	protein_coding	chr5
8196	ENSMUSG00000061184	Tmprss11c	protein_coding	chr5
8197	ENSMUSG00000061259	Tmprss11d	protein_coding	chr5
8198	ENSMUSG00000072845	Tmprss11a	protein_coding	chr5
8199	ENSMUSG00000079451	Tmprss11g	protein_coding	chr5
8200	ENSMUSG00000048764	Tmprss11f	protein_coding	chr5
8201	ENSMUSG00000035861	Tmprss11b	protein_coding	chr5
8202	ENSMUSG00000106507	Gm43056	lncRNA	chr5
8203	ENSMUSG00000054537	Tmprss11e	protein_coding	chr5
8204	ENSMUSG00000089851	Gm16579	lncRNA	chr5
8205	ENSMUSG00000104937	Gm43057	lncRNA	chr5
8206	ENSMUSG00000035851	Ythdc1	protein_coding	chr5
8207	ENSMUSG00000029260	Ugt2b34	protein_coding	chr5
8208	ENSMUSG00000035836	Ugt2b1	protein_coding	chr5
8209	ENSMUSG00000035811	Ugt2b35	protein_coding	chr5
8210	ENSMUSG00000070704	Ugt2b36	protein_coding	chr5
8211	ENSMUSG00000054630	Ugt2b5	protein_coding	chr5
8212	ENSMUSG00000057425	Ugt2b37	protein_coding	chr5
8213	ENSMUSG00000035780	Ugt2a3	protein_coding	chr5
8214	ENSMUSG00000061906	Ugt2b38	protein_coding	chr5
8215	ENSMUSG00000029268	Ugt2a2	protein_coding	chr5
8216	ENSMUSG00000106677	Ugt2a1	protein_coding	chr5
8217	ENSMUSG00000029269	Sult1b1	protein_coding	chr5
8218	ENSMUSG00000029273	Sult1d1	protein_coding	chr5
8219	ENSMUSG00000029272	Sult1e1	protein_coding	chr5
8220	ENSMUSG00000070702	Csn1s1	protein_coding	chr5
8221	ENSMUSG00000063157	Csn2	protein_coding	chr5
8222	ENSMUSG00000061937	Csn1s2a	protein_coding	chr5
8223	ENSMUSG00000061388	Csn1s2b	protein_coding	chr5
8224	ENSMUSG00000002240	Prr27	protein_coding	chr5
8225	ENSMUSG00000104839	Gm42794	lncRNA	chr5
8226	ENSMUSG00000009580	Odam	protein_coding	chr5
8227	ENSMUSG00000099605	1700066N21Rik	lncRNA	chr5
8228	ENSMUSG00000105888	BC037156	lncRNA	chr5
8229	ENSMUSG00000001622	Csn3	protein_coding	chr5
8230	ENSMUSG00000055961	BC051076	lncRNA	chr5
8231	ENSMUSG00000007457	2310003L06Rik	protein_coding	chr5
8232	ENSMUSG00000007907	Cabs1	protein_coding	chr5
8233	ENSMUSG00000029280	Smr3a	protein_coding	chr5
8234	ENSMUSG00000029281	Smr2	protein_coding	chr5
8235	ENSMUSG00000079439	Gm11116	protein_coding	chr5
8236	ENSMUSG00000079438	Gm11115	protein_coding	chr5
8237	ENSMUSG00000090302	Gm7714	protein_coding	chr5
8238	ENSMUSG00000064156	Prol1	protein_coding	chr5
8239	ENSMUSG00000029282	Amtn	protein_coding	chr5
8240	ENSMUSG00000029288	Ambn	protein_coding	chr5
8241	ENSMUSG00000029286	Enam	protein_coding	chr5
8242	ENSMUSG00000067149	Jchain	protein_coding	chr5
8243	ENSMUSG00000070697	Utp3	protein_coding	chr5
8244	ENSMUSG00000029291	Rufy3	protein_coding	chr5
8245	ENSMUSG00000044221	Grsf1	protein_coding	chr5
8246	ENSMUSG00000006262	Mob1b	protein_coding	chr5
8247	ENSMUSG00000029366	Dck	protein_coding	chr5
8248	ENSMUSG00000105640	Gm42912	lncRNA	chr5
8249	ENSMUSG00000060961	Slc4a4	protein_coding	chr5
8250	ENSMUSG00000035540	Gc	protein_coding	chr5
8251	ENSMUSG00000035528	Npffr2	protein_coding	chr5
8252	ENSMUSG00000043635	Adamts3	protein_coding	chr5
8253	ENSMUSG00000035505	Cox18	protein_coding	chr5
8254	ENSMUSG00000055204	Ankrd17	protein_coding	chr5
8255	ENSMUSG00000054945	Gm9958	lncRNA	chr5
8256	ENSMUSG00000029368	Alb	protein_coding	chr5
8257	ENSMUSG00000054932	Afp	protein_coding	chr5
8258	ENSMUSG00000106788	Gm43449	lncRNA	chr5
8259	ENSMUSG00000029369	Afm	protein_coding	chr5
8260	ENSMUSG00000106863	Gm42109	lncRNA	chr5
8261	ENSMUSG00000070690	Albfm1	protein_coding	chr5
8262	ENSMUSG00000029370	Rassf6	protein_coding	chr5
8263	ENSMUSG00000029371	Cxcl5	protein_coding	chr5
8264	ENSMUSG00000029372	Ppbp	protein_coding	chr5
8265	ENSMUSG00000029373	Pf4	protein_coding	chr5
8266	ENSMUSG00000029379	Cxcl3	protein_coding	chr5
8267	ENSMUSG00000029375	Cxcl15	protein_coding	chr5
8268	ENSMUSG00000107044	Gm43086	lncRNA	chr5
8269	ENSMUSG00000029380	Cxcl1	protein_coding	chr5
8270	ENSMUSG00000058427	Cxcl2	protein_coding	chr5
8271	ENSMUSG00000107218	Gm42530	lncRNA	chr5
8272	ENSMUSG00000029376	Mthfd2l	protein_coding	chr5
8273	ENSMUSG00000035020	Epgn	protein_coding	chr5
8274	ENSMUSG00000107350	Gm19610	lncRNA	chr5
8275	ENSMUSG00000029377	Ereg	protein_coding	chr5
8276	ENSMUSG00000029378	Areg	protein_coding	chr5
8277	ENSMUSG00000107198	Gm19619	lncRNA	chr5
8278	ENSMUSG00000082361	Btc	protein_coding	chr5
8279	ENSMUSG00000034981	Parm1	protein_coding	chr5
8280	ENSMUSG00000099468	Gm28271	lncRNA	chr5
8281	ENSMUSG00000101978	1700063O14Rik	lncRNA	chr5
8282	ENSMUSG00000107301	Gm43688	lncRNA	chr5
8283	ENSMUSG00000029397	Rchy1	protein_coding	chr5
8284	ENSMUSG00000096035	Odaph	protein_coding	chr5
8285	ENSMUSG00000029403	Cdkl2	protein_coding	chr5
8286	ENSMUSG00000029405	G3bp2	protein_coding	chr5
8287	ENSMUSG00000029407	Uso1	protein_coding	chr5
8288	ENSMUSG00000029409	U90926	lncRNA	chr5
8289	ENSMUSG00000029410	Ppef2	protein_coding	chr5
8290	ENSMUSG00000029413	Naaa	protein_coding	chr5
8291	ENSMUSG00000029415	Sdad1	protein_coding	chr5
8292	ENSMUSG00000106698	Gm43599	lncRNA	chr5
8293	ENSMUSG00000029417	Cxcl9	protein_coding	chr5
8294	ENSMUSG00000034842	Art3	protein_coding	chr5
8295	ENSMUSG00000034855	Cxcl10	protein_coding	chr5
8296	ENSMUSG00000034826	Nup54	protein_coding	chr5
8297	ENSMUSG00000029426	Scarb2	protein_coding	chr5
8298	ENSMUSG00000057068	Fam47e	protein_coding	chr5
8299	ENSMUSG00000047963	Stbd1	protein_coding	chr5
8300	ENSMUSG00000050050	Ccdc158	protein_coding	chr5
8301	ENSMUSG00000029381	Shroom3	protein_coding	chr5
8302	ENSMUSG00000092266	Gm20500	lncRNA	chr5
8303	ENSMUSG00000045314	Sowahb	protein_coding	chr5
8304	ENSMUSG00000058013	Sept11	protein_coding	chr5
8305	ENSMUSG00000063015	Ccni	protein_coding	chr5
8306	ENSMUSG00000029384	2010109A12Rik	protein_coding	chr5
8307	ENSMUSG00000029385	Ccng2	protein_coding	chr5
8308	ENSMUSG00000096044	Gm16427	protein_coding	chr5
8309	ENSMUSG00000070686	C87414	protein_coding	chr5
8310	ENSMUSG00000107392	Gm7792	protein_coding	chr5
8311	ENSMUSG00000096230	Gm16429	protein_coding	chr5
8312	ENSMUSG00000072822	BC061212	protein_coding	chr5
8313	ENSMUSG00000072821	Gm6351	protein_coding	chr5
8314	ENSMUSG00000096259	Gm3106	protein_coding	chr5
8315	ENSMUSG00000094560	A430089I19Rik	protein_coding	chr5
8316	ENSMUSG00000095718	Gm6502	protein_coding	chr5
8317	ENSMUSG00000073497	AA792892	protein_coding	chr5
8318	ENSMUSG00000074011	Gm7682	protein_coding	chr5
8319	ENSMUSG00000095074	Gm3139	protein_coding	chr5
8320	ENSMUSG00000095503	Gm3147	protein_coding	chr5
8321	ENSMUSG00000094195	Gm6509	protein_coding	chr5
8322	ENSMUSG00000092073	Gm6205	protein_coding	chr5
8323	ENSMUSG00000095954	Gm3183	protein_coding	chr5
8324	ENSMUSG00000096742	Gm6367	protein_coding	chr5
8325	ENSMUSG00000092166	Gm7942	protein_coding	chr5
8326	ENSMUSG00000095996	Gm16513	protein_coding	chr5
8327	ENSMUSG00000096066	Gm10424	protein_coding	chr5
8328	ENSMUSG00000079424	Gm3259	protein_coding	chr5
8329	ENSMUSG00000070677	D5Ertd577e	protein_coding	chr5
8330	ENSMUSG00000079423	Gm3286	protein_coding	chr5
8331	ENSMUSG00000094043	Gm7971	protein_coding	chr5
8332	ENSMUSG00000096139	Gm7978	protein_coding	chr5
8333	ENSMUSG00000072814	Gm7982	protein_coding	chr5
8334	ENSMUSG00000072813	E330014E10Rik	protein_coding	chr5
8335	ENSMUSG00000023078	Cxcl13	protein_coding	chr5
8336	ENSMUSG00000034724	Cnot6l	protein_coding	chr5
8337	ENSMUSG00000029486	Mrpl1	protein_coding	chr5
8338	ENSMUSG00000034687	Fras1	protein_coding	chr5
8339	ENSMUSG00000106263	Gm33050	lncRNA	chr5
8340	ENSMUSG00000106526	Gm42604	lncRNA	chr5
8341	ENSMUSG00000029484	Anxa3	protein_coding	chr5
8342	ENSMUSG00000104955	1700016F12Rik	lncRNA	chr5
8343	ENSMUSG00000106319	Gm42601	lncRNA	chr5
8344	ENSMUSG00000105283	Gm33370	lncRNA	chr5
8345	ENSMUSG00000106357	Gm8013	lncRNA	chr5
8346	ENSMUSG00000105006	Gm9484	lncRNA	chr5
8347	ENSMUSG00000034663	Bmp2k	protein_coding	chr5
8348	ENSMUSG00000055725	Paqr3	protein_coding	chr5
8349	ENSMUSG00000104736	Gm33609	lncRNA	chr5
8350	ENSMUSG00000105850	Gm2861	lncRNA	chr5
8351	ENSMUSG00000104717	Gm33969	lncRNA	chr5
8352	ENSMUSG00000046000	Naa11	protein_coding	chr5
8353	ENSMUSG00000097516	4930467D21Rik	lncRNA	chr5
8354	ENSMUSG00000050553	Gk2	protein_coding	chr5
8355	ENSMUSG00000029338	Antxr2	protein_coding	chr5
8356	ENSMUSG00000035456	Prdm8	protein_coding	chr5
8357	ENSMUSG00000045238	A730035I17Rik	lncRNA	chr5
8358	ENSMUSG00000029337	Fgf5	protein_coding	chr5
8359	ENSMUSG00000057816	Cfap299	protein_coding	chr5
8360	ENSMUSG00000079416	Gm11111	protein_coding	chr5
8361	ENSMUSG00000067101	1700010H22Rik	lncRNA	chr5
8362	ENSMUSG00000029335	Bmp3	protein_coding	chr5
8363	ENSMUSG00000029334	Prkg2	protein_coding	chr5
8364	ENSMUSG00000105579	Gm43251	lncRNA	chr5
8365	ENSMUSG00000089809	Rasgef1b	protein_coding	chr5
8366	ENSMUSG00000105686	Gm35394	lncRNA	chr5
8367	ENSMUSG00000104753	Gm35172	lncRNA	chr5
8368	ENSMUSG00000090006	Gm16227	lncRNA	chr5
8369	ENSMUSG00000090146	4930405H06Rik	lncRNA	chr5
8370	ENSMUSG00000089743	Gm16226	lncRNA	chr5
8371	ENSMUSG00000029331	4930522N08Rik	lncRNA	chr5
8372	ENSMUSG00000105218	Gm38413	lncRNA	chr5
8373	ENSMUSG00000105078	Vamp9	protein_coding	chr5
8374	ENSMUSG00000000568	Hnrnpd	protein_coding	chr5
8375	ENSMUSG00000091623	Gm17092	lncRNA	chr5
8376	ENSMUSG00000029328	Hnrnpdl	protein_coding	chr5
8377	ENSMUSG00000029326	Enoph1	protein_coding	chr5
8378	ENSMUSG00000050640	Tmem150c	protein_coding	chr5
8379	ENSMUSG00000086259	Tmem150cos	lncRNA	chr5
8380	ENSMUSG00000103927	Gm9932	lncRNA	chr5
8381	ENSMUSG00000100157	2310034O05Rik	lncRNA	chr5
8382	ENSMUSG00000035325	Sec31a	protein_coding	chr5
8383	ENSMUSG00000097772	5430416N02Rik	lncRNA	chr5
8384	ENSMUSG00000035310	Lin54	protein_coding	chr5
8385	ENSMUSG00000035297	Cops4	protein_coding	chr5
8386	ENSMUSG00000029322	Plac8	protein_coding	chr5
8387	ENSMUSG00000029319	Coq2	protein_coding	chr5
8388	ENSMUSG00000085269	Gm15777	lncRNA	chr5
8389	ENSMUSG00000035273	Hpse	protein_coding	chr5
8390	ENSMUSG00000035266	Helq	protein_coding	chr5
8391	ENSMUSG00000016833	Mrps18c	protein_coding	chr5
8392	ENSMUSG00000035234	Abraxas1	protein_coding	chr5
8393	ENSMUSG00000105755	Gm43514	lncRNA	chr5
8394	ENSMUSG00000087611	4930458D05Rik	lncRNA	chr5
8395	ENSMUSG00000029314	Gpat3	protein_coding	chr5
8396	ENSMUSG00000106255	Gm36793	lncRNA	chr5
8397	ENSMUSG00000092503	Gm20484	lncRNA	chr5
8398	ENSMUSG00000035187	Nkx6-1	protein_coding	chr5
8399	ENSMUSG00000105097	Gm42133	lncRNA	chr5
8400	ENSMUSG00000106164	9430085M18Rik	lncRNA	chr5
8401	ENSMUSG00000029330	Cds1	protein_coding	chr5
8402	ENSMUSG00000043940	Wdfy3	protein_coding	chr5
8403	ENSMUSG00000092354	Gm20548	lncRNA	chr5
8404	ENSMUSG00000106492	Gm29707	lncRNA	chr5
8405	ENSMUSG00000106586	1700013M08Rik	lncRNA	chr5
8406	ENSMUSG00000057315	Arhgap24	protein_coding	chr5
8407	ENSMUSG00000046709	Mapk10	protein_coding	chr5
8408	ENSMUSG00000104956	4930429D17Rik	lncRNA	chr5
8409	ENSMUSG00000105426	1700021F02Rik	lncRNA	chr5
8410	ENSMUSG00000104684	5430427N15Rik	lncRNA	chr5
8411	ENSMUSG00000034573	Ptpn13	protein_coding	chr5
8412	ENSMUSG00000104580	Gm42620	lncRNA	chr5
8413	ENSMUSG00000029321	Slc10a6	protein_coding	chr5
8414	ENSMUSG00000029320	1700016H13Rik	protein_coding	chr5
8415	ENSMUSG00000029313	Aff1	protein_coding	chr5
8416	ENSMUSG00000029312	Klhl8	protein_coding	chr5
8417	ENSMUSG00000034528	Hsd17b13	protein_coding	chr5
8418	ENSMUSG00000029311	Hsd17b11	protein_coding	chr5
8419	ENSMUSG00000029310	Nudt9	protein_coding	chr5
